epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,157.42,1.47419,1.46253,1.2055,0.45475,0.4492,0.37686,0.10598,2.88348,1.63434,2.1647,0.0011684,0.0011684,0.0011684
44,161.12,1.47265,0.92669,1.19491,0.65328,0.39037,0.41466,0.11739,2.86947,1.54725,2.14015,0.0011486,0.0011486,0.0011486
45,164.683,1.35988,0.78426,1.17734,0.54741,0.3369,0.35105,0.09926,2.95243,1.83735,2.14174,0.0011288,0.0011288,0.0011288
46,168.05,1.26764,0.68536,1.10488,0.57159,0.47804,0.43366,0.13369,2.74414,1.65194,2.06694,0.001109,0.001109,0.001109
47,171.53,1.27188,0.67173,1.06355,0.60823,0.51474,0.47962,0.15368,2.7054,1.58026,2.02237,0.0010892,0.0010892,0.0010892
48,174.993,1.28408,0.70505,1.14326,0.53971,0.39504,0.39341,0.1174,2.76638,1.69026,1.98529,0.0010694,0.0010694,0.0010694
49,178.452,1.39837,0.71944,1.11767,0.46486,0.41711,0.4071,0.13066,2.64827,1.80767,1.84399,0.0010496,0.0010496,0.0010496
50,181.723,1.23764,0.67003,1.05709,0.51925,0.45455,0.44694,0.14898,2.63223,1.51328,1.87519,0.0010298,0.0010298,0.0010298
51,185.402,1.22644,0.69346,1.05335,0.58289,0.46334,0.49403,0.1741,2.5465,1.4613,1.82838,0.00101,0.00101,0.00101
52,189.156,1.28353,0.70816,1.08559,0.58328,0.3262,0.38976,0.13385,2.72478,1.6482,1.94243,0.0009902,0.0009902,0.0009902
53,192.812,1.37372,0.71381,1.15767,0.46232,0.42781,0.40211,0.13123,2.61825,1.77291,1.84643,0.0009704,0.0009704,0.0009704
54,196.164,1.27424,0.68306,1.0685,0.55357,0.42439,0.4368,0.14432,2.62131,1.67033,1.87297,0.0009506,0.0009506,0.0009506
55,199.503,1.2473,0.66508,1.07229,0.58353,0.37464,0.40988,0.12834,2.77868,1.61404,1.99326,0.0009308,0.0009308,0.0009308
56,203.29,1.28664,0.65368,1.0592,0.60897,0.39976,0.43583,0.12824,2.83043,1.61302,2.01309,0.000911,0.000911,0.000911
57,207.127,1.12333,0.60312,1.05004,0.59932,0.39572,0.41299,0.12969,2.75032,1.72938,1.92409,0.0008912,0.0008912,0.0008912
58,211.125,1.13439,0.63702,1.03863,0.57319,0.34225,0.36268,0.11285,2.72891,1.8496,1.88268,0.0008714,0.0008714,0.0008714
59,217.454,1.22962,0.63786,1.07847,0.50632,0.37296,0.35278,0.11023,2.74299,1.85694,1.87392,0.0008516,0.0008516,0.0008516
60,221.704,1.21903,0.63439,1.05597,0.54396,0.37968,0.40101,0.12223,2.70357,1.80352,1.85602,0.0008318,0.0008318,0.0008318
61,226.085,1.21991,0.69751,1.06132,0.55362,0.36898,0.4044,0.13102,2.68581,1.58475,1.93099,0.000812,0.000812,0.000812
62,229.886,1.1576,0.68518,1.03976,0.54768,0.36898,0.42296,0.1293,2.73749,1.62848,1.97402,0.0007922,0.0007922,0.0007922
63,233.928,1.19863,0.69413,1.07234,0.59273,0.3369,0.39749,0.12537,2.76191,1.71875,1.95574,0.0007724,0.0007724,0.0007724
64,238.809,1.0656,0.59073,1.0386,0.45957,0.4385,0.41537,0.13702,2.71361,1.65983,1.86973,0.0007526,0.0007526,0.0007526
65,242.958,1.14124,0.60474,1.00607,0.62894,0.42246,0.47829,0.15582,2.62828,1.48466,1.84001,0.0007328,0.0007328,0.0007328
66,246.897,1.08999,0.57558,1.00192,0.5616,0.48128,0.49902,0.16024,2.62239,1.48187,1.84651,0.000713,0.000713,0.000713
67,250.969,1.09671,0.60433,1.09857,0.59659,0.50267,0.51795,0.17327,2.53271,1.42504,1.77257,0.0006932,0.0006932,0.0006932
68,255.082,1.08119,0.57916,1.03069,0.60101,0.50267,0.51517,0.16798,2.54828,1.47377,1.75936,0.0006734,0.0006734,0.0006734
69,259.247,1.07486,0.56334,1.01617,0.52962,0.39572,0.40269,0.11286,2.7407,1.55131,1.8748,0.0006536,0.0006536,0.0006536
70,262.865,1.13545,0.65913,1.00627,0.54662,0.43198,0.45731,0.1266,2.71133,1.51059,1.88143,0.0006338,0.0006338,0.0006338
